Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-790bd390-cfbf-4ebb-b401-4ca1dbd95678,MX-P1-1-665951,850097033323,2023-01-11 06:30:42,2023-01-11 06:30:41,9.83,0.31,198.57,6.3542,0.0,0.0,MXN,20.2026,MX,3c336899-2150-4085-af8e-7484963a7f14,1-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-11 06:30:42,0,0,0,MX,P1,1.0,665951
T-57873-7701e3fc-2ed2-4415-a684-b0a8078322b7,MX-P1-1-654965,920100933250,2023-01-12 20:46:54,0,9.93,0.32,198.57,6.3542,0.0,0.0,MXN,19.9877,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-12 20:46:54,0,0,0,MX,P1,1.0,654965
T-57873-389ab274-bec7-418f-b019-7c102937d02a,MX-P1-1-379447,730097419166,2023-01-12 20:47:27,0,9.94,0.32,198.57,6.3542,0.0,0.0,MXN,19.9843,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-12 20:47:27,0,0,0,MX,P1,1.0,379447
T-57873-48ecb1fd-f64c-4721-8eff-eca6df94cf12,MX-P1-1-807374,920100936917,2023-01-12 20:49:28,0,9.94,0.32,198.57,6.3542,0.0,0.0,MXN,19.9859,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-12 20:49:28,0,0,0,MX,P1,1.0,807374
T-57873-542465e7-8c90-4d58-9dd6-7ff82d626be2,MX-P1-1-482978,730097967493,2023-01-13 03:58:55,2023-01-13 03:58:55,9.93,0.32,198.57,6.3542,0.0,0.0,MXN,19.9902,MX,c70a40b0-d83b-11eb-993f-3bfa8e5be0dd,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-13 03:58:55,0,0,0,MX,P1,1.0,482978
T-57873-45debfb1-8663-4395-a1e7-be33d1932f3b,MX-P1-1-609078,370004833796,2023-01-13 06:27:19,2023-01-13 06:27:19,9.93,0.32,198.57,6.3542,0.0,0.0,MXN,20.0061,MX,a9a37855-ebdb-4e7f-834c-71aee1109392,1-1-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-13 06:27:19,0,0,0,MX,P1,1.0,609078
T-57873-567afd04-1e05-4a9f-9539-e3c9bb2d7334,MX-P1-1-497100,410024518896,2023-01-13 06:30:42,2023-01-13 06:30:42,9.92,0.32,198.57,6.3542,0.0,0.0,MXN,20.0086,MX,57eb484e-12f3-481f-acf5-cd2bb932ef43,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-13 06:30:42,0,0,0,MX,P1,1.0,497100
T-57873-19605a81-2c15-435c-97cc-03d43c71b1b0,MX-P1-1-571001,0,2023-01-13 18:35:56,0,9.99,0.32,198.57,6.3542,0.0,0.0,MXN,19.8767,MX,8a8acf01-915f-4589-b406-653f9778162f,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-13 18:35:56,0,0,0,MX,P1,1.0,571001
T-57873-e31dd866-08cf-4b0d-93cb-32369bfa8487,MX-P1-1-173238,850100571895,2023-01-13 22:30:57,2023-01-13 22:30:57,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.9079,MX,a60d27f0-0972-4230-8df7-489ea48009d7,1-1-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-13 22:30:57,0,0,0,MX,P1,1.0,173238
T-57873-e4c2a1dd-9912-4b1a-ac26-6ad20c5452dd,MX-P1-1-585103,850101254611,2023-01-14 06:30:42,2023-01-14 06:30:41,9.97,0.32,198.57,6.3542,0.0,0.0,MXN,19.908,MX,111e9960-fd2b-11eb-bb02-97c79a843ad1,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-14 06:30:42,0,0,0,MX,P1,1.0,585103
